% Model:              
% Version:            COMSOL 4.4.0.248
% Date:               Dec 8 2014, 21:41
% Dimension:          2
% Nodes:              6582
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Vorticity field, z component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  spf.vorticityz (1/s)
-2.4741665261980925       -1                       -2                       7.783076205789501E-31    -2
-2.5                      -1                       -1.9999999999999998      4.591116844646581E-45    -1.9999999999999856
-2.448259409454754        -1                       -2                       5.026588918733808E-32    -1.9999999999998295
-2.4223522921277656       -1                       -2                       -3.5726021572766848E-31  -1.9999999999998295
-2.5                      -0.995662960629893       -1.9913259212597858      -3.09748619320251E-32    -2.000000000000017
-2.4741665261980925       -0.9955654022817215      -1.9911308045634428      4.794321561819127E-17    -1.9999999999998845
-2.448259409454754        -0.995105918749297       -1.9902118374985946      7.090621336151154E-17    -1.9999999999998859
-2.3964451748007773       -1                       -1.9999999999999998      1.1034369560040183E-31   -1.9999999999998295
-2.370538057473789        -1                       -2.0000000000000004      1.9320533090029914E-31   -1.9999999999999432
-2.4741665261980925       -0.9902438850197873      -1.980487770039575       1.8926553980404826E-16   -1.9999999999999654
-2.5                      -0.9904585133857647      -1.9809170267715295      0                        -1.9999999999999751
-2.4223522921277656       -0.9946412003199503      -1.9892824006399017      -3.678753331099516E-17   -1.9999999999998337
-2.3964451748007773       -0.9945323419710501      -1.989064683942101       1.1992800672183667E-17   -1.9999999999998843
-2.448259409454754        -0.9892330212484534      -1.9784660424969083      1.9591575623266008E-16   -1.999999999999952
-2.4741401545601462       1                        1.9999999999999996       9.002091184242761E-32    -2.000000000000006
-2.5                      1                        2                        -5.002205403807326E-48   -2
-2.3446309401468017       -1                       -2                       -2.2134440084882634E-31  -2.0000000000001705
-2.3187238228198135       -1                       -2                       -4.639163156434081E-31   -2.0000000000005116
-2.2928167054928252       -1                       -1.9999999999999998      1.986098409146944E-31    -2.0000000000008527
-2.266909588165837        -1                       -1.9999999999999998      -1.8985209437653225E-30  -2.0000000000012506
-2.4223522921277656       -0.9882106407038906      -1.9764212814077833      3.550990915705657E-18    -1.9999999999999232
-2.465389872332953        -0.980463133485683       -1.9609262669713674      5.711979839434098E-16    -2.0000000000000155
-2.483402213188973        -0.981850121889779       -1.9637002437795585      4.14529067739876E-16     -1.999999999999989
-2.5                      -0.9797731003243084      -1.9595462006486168      0                        -1.9999999999999416
-2.5                      0.9957141453245884       1.9914282906491767       -3.1926341438046644E-32  -2.000000000000057
-2.370538057473789        -0.994517795370667       -1.9890355907413342      -1.3382622084892252E-16  -2.0000000000000626
-2.3446309401468017       -0.9945000378949664      -1.989000075789932       -1.3367145596442034E-16  -2.000000000000284
-2.44818034569344         1                        2                        -2.771109057621544E-31   -2.000000000000043
-2.4222205353912427       1                        2                        -5.608064994679809E-31   -1.9999999999999447
-2.3187238228198135       -0.9944498223517291      -1.9888996447034557      -2.1989355578990833E-16  -2.0000000000005147
-2.2928167054928252       -0.9943617051651047      -1.988723410330204       -2.582131055919956E-16   -2.0000000000009104
-2.3964451748007773       -0.9879711523363102      -1.9759423046726219      -1.5327663528140506E-16  -2.0000000000000613
-2.2410024708388487       -1                       -2                       -2.8135630040049715E-30  -2.000000000001762
-2.370538057473789        -0.9879391498154674      -1.9758782996309348      -5.234144441336985E-16   -2.0000000000002345
-2.44015892397001         -0.9787545614961332      -1.9575091229922688      3.93554134691752E-16     -2.0000000000000098
-2.41351410014599         -0.9776213544394758      -1.955242708878954       -2.5630173716622114E-16  -2.0000000000001608
-2.450434834845458        -0.9663226471009081      -1.9326452942018182      9.718267868655378E-16    -2.0000000000000724
-2.476409493193472        -0.9663578888637279      -1.9327157777274566      1.378987962608418E-15    -2.0000000000000444
-2.5                      -0.9662425053744459      -1.9324850107488918      0                        -1.9999999999999414
-2.4741401545601462       0.9953485869216312       1.9906971738432622       4.638176109796765E-18    -1.9999999999999578
-2.4741401545601462       0.9897668912275887       1.9795337824551775       4.437182849748089E-17    -2.000000000000001
-2.4999999999999996       0.9905711197140937       1.9811422394281875       0                        -1.9999999999999922
-2.44818034569344         0.9948808778360576       1.9897617556721152       2.953563297929783E-17    -1.9999999999999294
-2.266909588165837        -0.9942935093284978      -1.9885870186569883      -3.0841054639716005E-16  -2.0000000000013656
-2.3446309401468017       -0.9879000833689262      -1.9758001667378498      -7.205580074019762E-16   -2.0000000000004423
-2.2150953535118605       -1                       -1.9999999999999998      -3.164749787982864E-30   -2.0000000000022737
-2.1891882361848722       -1                       -2                       -1.0761478272956272E-30  -2.000000000002956
-2.3962607250890446       1                        2                        -2.0876332451343117E-31  -1.9999999999999882
-2.3703009147868475       1                        1.9999999999999998       3.218294822241827E-32    -2.0000000000000835
-2.3187238228198135       -0.9877896091738039      -1.9755792183476015      -9.79887037859052E-16    -2.000000000000758
-2.2928167054928252       -0.9875957513632303      -1.97519150272645        -1.251241188741734E-15   -2.000000000001108
-2.266909588165837        -0.9874457205226952      -1.974891441045374       -1.4850323645408032E-15  -2.0000000000011724
-2.3878054348356734       -0.9776192123044816      -1.9552384246089638      -1.0959777356550118E-15  -2.0000000000003495
-2.3615780931601513       -0.9770901190723623      -1.954180238144721       -2.0905190389967556E-15  -2.0000000000005427
